ID,Alignment,Parameter,Value
002,Instrument.Alignments.Optics.MdTLDAlign,X,-6.758865637017e-02
002,Instrument.Alignments.Optics.AlignCorrAngleUHR,[0.004;2000].Y,-7.781107221167e-04
002,Instrument.Alignments.Optics.CorrStigUppYUHR,[0.002;1000].X,-8.584454048142e-04
002,Instrument.Alignments.Optics.MdSShiftTube3,Y,-6.452951699578e+01
002,Instrument.Alignments.Optics.ShiftCorrAngleUHR,[1000].X,-9.963603282107e-04
002,Instrument.Alignments.Optics.MdSImRotCheb1,,3.570000000000e-01
002,Instrument.Alignments.Optics.MdSDeflACF,[0.001].X,1.426000000000e-01
002,Instrument.Alignments.Optics.MdDeflACF,Y,1.458550000000e-01
002,Instrument.Alignments.Optics.MdACRotUpp,Y,-9.800000000000e-04
002,Instrument.Alignments.Optics.MdCompUHRRem,,-1.000000000000e+01
002,Instrument.Alignments.Optics.MdACRotLow,Y,-2.150000000000e-03
002,Instrument.Alignments.Detectors.TLD.Push,,-1.439875112710e+02
002,Instrument.Alignments.Optics.MdDeflDC1,X,1.426000000000e-01
002,Instrument.Alignments.Optics.MdHRpar4,,-4.085734220046e-05
002,Instrument.Alignments.Optics.MdSImRotCheb0,,-1.620000000000e+00
002,Instrument.Alignments.Optics.MdHRSatPar1,,-2.101511095702e+01
018,Instrument.Alignments.Optics.MdTLDAlign,X,-2.083333333333e-02
018,Instrument.Alignments.Optics.AlignCorrAngleUHR,[0.004;2000].Y,-1.630810000000e-05
018,Instrument.Alignments.Optics.CorrStigUppYUHR,[0.002;1000].X,5.072860000000e-04
018,Instrument.Alignments.Optics.MdSShiftTube3,Y,-1.625895130942e+01
018,Instrument.Alignments.Optics.ShiftCorrAngleUHR,[1000].X,-1.083330000000e-04
018,Instrument.Alignments.Optics.MdSImRotCheb1,,3.570000000000e-01
018,Instrument.Alignments.Optics.MdSDeflACF,[0.001].X,1.426000000000e-01
018,Instrument.Alignments.Optics.MdDeflACF,Y,1.458550000000e-01
018,Instrument.Alignments.Optics.MdACRotUpp,Y,-9.800000000000e-04
018,Instrument.Alignments.Optics.MdCompUHRRem,,-2.000000000000e+01
018,Instrument.Alignments.Optics.MdACRotLow,Y,-2.150000000000e-03
018,Instrument.Alignments.Detectors.TLD.Push,,-1.456651869584e+02
018,Instrument.Alignments.Optics.MdDeflDC1,X,1.426000000000e-01
018,Instrument.Alignments.Optics.MdHRpar4,,1.884356876929e-06
018,Instrument.Alignments.Optics.MdSImRotCheb0,,-1.620000000000e+00
018,Instrument.Alignments.Optics.MdHRSatPar1,,-2.308321906315e+01
029,Instrument.Alignments.Optics.MdTLDAlign,X,-6.691365204000e-02
029,Instrument.Alignments.Optics.AlignCorrAngleUHR,[0.004;2000].Y,4.633926918423e-05
029,Instrument.Alignments.Optics.CorrStigUppYUHR,[0.002;1000].X,1.228743800594e-02
029,Instrument.Alignments.Optics.MdSShiftTube3,Y,-2.770967244070e-01
029,Instrument.Alignments.Optics.ShiftCorrAngleUHR,[1000].X,-2.604545113798e-04
029,Instrument.Alignments.Optics.MdSImRotCheb1,,3.570000000000e-01
029,Instrument.Alignments.Optics.MdSDeflACF,[0.001].X,1.426000000000e-01
029,Instrument.Alignments.Optics.MdDeflACF,Y,1.458550000000e-01
029,Instrument.Alignments.Optics.MdACRotUpp,Y,-9.800000000000e-04
029,Instrument.Alignments.Optics.MdCompUHRRem,,-1.000000000000e+01
029,Instrument.Alignments.Optics.MdACRotLow,Y,-2.150000000000e-03
029,Instrument.Alignments.Detectors.TLD.Push,,-1.522041290084e+02
029,Instrument.Alignments.Optics.MdDeflDC1,X,1.426000000000e-01
029,Instrument.Alignments.Optics.MdHRpar4,,3.103835573079e-05
029,Instrument.Alignments.Optics.MdSImRotCheb0,,-1.620000000000e+00
029,Instrument.Alignments.Optics.MdHRSatPar1,,-2.468720012301e+01
021,Instrument.Alignments.Optics.MdTLDAlign,X,0.000000000000e+00
021,Instrument.Alignments.Optics.AlignCorrAngleUHR,[0.004;2000].Y,9.628350000000e-05
021,Instrument.Alignments.Optics.CorrStigUppYUHR,[0.002;1000].X,-4.989530000000e-03
021,Instrument.Alignments.Optics.MdSShiftTube3,Y,2.567809940696e+01
021,Instrument.Alignments.Optics.ShiftCorrAngleUHR,[1000].X,-1.291670000000e-04
021,Instrument.Alignments.Optics.MdSImRotCheb1,,3.570000000000e-01
021,Instrument.Alignments.Optics.MdSDeflACF,[0.001].X,1.426000000000e-01
021,Instrument.Alignments.Optics.MdDeflACF,Y,1.458550000000e-01
021,Instrument.Alignments.Optics.MdACRotUpp,Y,-9.800000000000e-04
021,Instrument.Alignments.Optics.MdCompUHRRem,,-2.000000000000e+01
021,Instrument.Alignments.Optics.MdACRotLow,Y,-2.150000000000e-03
021,Instrument.Alignments.Detectors.TLD.Push,,-1.546435233697e+02
021,Instrument.Alignments.Optics.MdDeflDC1,X,1.426000000000e-01
021,Instrument.Alignments.Optics.MdHRpar4,,4.164692555884e-05
021,Instrument.Alignments.Optics.MdSImRotCheb0,,-1.620000000000e+00
021,Instrument.Alignments.Optics.MdHRSatPar1,,-2.235543585288e+01
000,Instrument.Alignments.Optics.MdTLDAlign,X,-6.717398601004e-02
000,Instrument.Alignments.Optics.AlignCorrAngleUHR,[0.004;2000].Y,-9.852483014156e-05
000,Instrument.Alignments.Optics.CorrStigUppYUHR,[0.002;1000].X,-5.272292344079e-02
000,Instrument.Alignments.Optics.MdSShiftTube3,Y,-4.032059426992e+00
000,Instrument.Alignments.Optics.ShiftCorrAngleUHR,[1000].X,4.500426856376e-06
000,Instrument.Alignments.Optics.MdSImRotCheb1,,3.570000000000e-01
000,Instrument.Alignments.Optics.MdSDeflACF,[0.001].X,1.426000000000e-01
000,Instrument.Alignments.Optics.MdDeflACF,Y,1.458550000000e-01
000,Instrument.Alignments.Optics.MdACRotUpp,Y,-9.800000000000e-04
000,Instrument.Alignments.Optics.MdCompUHRRem,,-2.000000000000e+01
000,Instrument.Alignments.Optics.MdACRotLow,Y,-2.150000000000e-03
000,Instrument.Alignments.Detectors.TLD.Push,,-1.804921232586e+02
000,Instrument.Alignments.Optics.MdDeflDC1,X,1.426000000000e-01
000,Instrument.Alignments.Optics.MdHRpar4,,-5.049250301773e-05
000,Instrument.Alignments.Optics.MdSImRotCheb0,,-1.620000000000e+00
000,Instrument.Alignments.Optics.MdHRSatPar1,,-1.956476635132e+01
031,Instrument.Alignments.Optics.MdTLDAlign,X,0.000000000000e+00
031,Instrument.Alignments.Optics.AlignCorrAngleUHR,[0.004;2000].Y,-3.766573818577e-05
031,Instrument.Alignments.Optics.CorrStigUppYUHR,[0.002;1000].X,-3.094950764744e-03
031,Instrument.Alignments.Optics.MdSShiftTube3,Y,1.056653072524e+01
031,Instrument.Alignments.Optics.ShiftCorrAngleUHR,[1000].X,4.536098222108e-04
031,Instrument.Alignments.Optics.MdSImRotCheb1,,3.249341696237e-01
031,Instrument.Alignments.Optics.MdSDeflACF,[0.001].X,1.283540848823e-01
031,Instrument.Alignments.Optics.MdDeflACF,Y,1.356308563075e-01
031,Instrument.Alignments.Optics.MdACRotUpp,Y,-4.000000000000e-03
031,Instrument.Alignments.Optics.MdCompUHRRem,,-1.000000000000e+01
031,Instrument.Alignments.Optics.MdACRotLow,Y,-1.366666666667e-02
031,Instrument.Alignments.Detectors.TLD.Push,,-1.617715484277e+02
031,Instrument.Alignments.Optics.MdDeflDC1,X,1.467692015084e-01
031,Instrument.Alignments.Optics.MdHRpar4,,1.419854040130e-05
031,Instrument.Alignments.Optics.MdSImRotCheb0,,-1.601010043904e+00
031,Instrument.Alignments.Optics.MdHRSatPar1,,-2.196225391136e+01
034,Instrument.Alignments.Optics.MdTLDAlign,X,-2.604166666667e-02
034,Instrument.Alignments.Optics.AlignCorrAngleUHR,[0.004;2000].Y,1.223260000000e-04
034,Instrument.Alignments.Optics.CorrStigUppYUHR,[0.002;1000].X,-2.472490000000e-02
034,Instrument.Alignments.Optics.MdSShiftTube3,Y,-2.107537916496e+01
034,Instrument.Alignments.Optics.ShiftCorrAngleUHR,[1000].X,-5.916670000000e-04
034,Instrument.Alignments.Optics.MdSImRotCheb1,,3.570000000000e-01
034,Instrument.Alignments.Optics.MdSDeflACF,[0.001].X,1.426000000000e-01
034,Instrument.Alignments.Optics.MdDeflACF,Y,1.458550000000e-01
034,Instrument.Alignments.Optics.MdACRotUpp,Y,-9.800000000000e-04
034,Instrument.Alignments.Optics.MdCompUHRRem,,-2.000000000000e+01
034,Instrument.Alignments.Optics.MdACRotLow,Y,-2.150000000000e-03
034,Instrument.Alignments.Detectors.TLD.Push,,-1.557639862720e+02
034,Instrument.Alignments.Optics.MdDeflDC1,X,1.426000000000e-01
034,Instrument.Alignments.Optics.MdHRpar4,,1.052587931593e-06
034,Instrument.Alignments.Optics.MdSImRotCheb0,,-1.620000000000e+00
034,Instrument.Alignments.Optics.MdHRSatPar1,,-2.346433988787e+01
007,Instrument.Alignments.Optics.MdTLDAlign,X,9.375000000000e-03
007,Instrument.Alignments.Optics.AlignCorrAngleUHR,[0.004;2000].Y,1.765660000000e-04
007,Instrument.Alignments.Optics.CorrStigUppYUHR,[0.002;1000].X,1.387160000000e-03
007,Instrument.Alignments.Optics.MdSShiftTube3,Y,3.707649988774e+01
007,Instrument.Alignments.Optics.ShiftCorrAngleUHR,[1000].X,4.666670000000e-04
007,Instrument.Alignments.Optics.MdSImRotCheb1,,2.681000000000e-01
007,Instrument.Alignments.Optics.MdSDeflACF,[0.001].X,1.426000000000e-01
007,Instrument.Alignments.Optics.MdDeflACF,Y,1.458550000000e-01
