ID,Alignment,Parameter,Value
002,Instrument.Alignments.Optics.MdTLDAlign,X,-8.125000000000e-02
002,Instrument.Alignments.Optics.AlignCorrAngleUHR,[0.004;2000].Y,4.919850787492e-05
002,Instrument.Alignments.Optics.CorrStigUppYUHR,[0.002;1000].X,-6.567836868572e-03
002,Instrument.Alignments.Optics.MdSShiftTube3,Y,-4.750529087548e+01
002,Instrument.Alignments.Optics.ShiftCorrAngleUHR,[1000].X,-6.875257795614e-04
002,Instrument.Alignments.Optics.MdSImRotCheb1,,3.589000541193e-01
002,Instrument.Alignments.Optics.MdSDeflACF,[0.001].X,1.274673512526e-01
002,Instrument.Alignments.Optics.MdDeflACF,Y,1.340677128783e-01
002,Instrument.Alignments.Optics.MdACRotUpp,Y,-9.800000000000e-04
002,Instrument.Alignments.Optics.MdCompUHRRem,,-5.000000000000e+00
002,Instrument.Alignments.Optics.MdACRotLow,Y,-3.041285093319e-03
002,Instrument.Alignments.Detectors.TLD.Push,,-1.450943743343e+02
002,Instrument.Alignments.Optics.MdDeflDC1,X,1.456359119666e-01
002,Instrument.Alignments.Optics.MdHRpar4,,8.959328938144e-06
002,Instrument.Alignments.Optics.MdSImRotCheb0,,-1.608991533199e+00
002,Instrument.Alignments.Optics.MdHRSatPar1,,-2.134881482011e+01
018,Instrument.Alignments.Optics.MdTLDAlign,X,-5.520833333333e-02
018,Instrument.Alignments.Optics.AlignCorrAngleUHR,[0.004;2000].Y,-1.226345676243e-04
018,Instrument.Alignments.Optics.CorrStigUppYUHR,[0.002;1000].X,-8.280867726146e-03
018,Instrument.Alignments.Optics.MdSShiftTube3,Y,1.341934023604e+01
018,Instrument.Alignments.Optics.ShiftCorrAngleUHR,[1000].X,-2.216246885599e-04
018,Instrument.Alignments.Optics.MdSImRotCheb1,,3.600526881894e-01
018,Instrument.Alignments.Optics.MdSDeflACF,[0.001].X,1.286626317428e-01
018,Instrument.Alignments.Optics.MdDeflACF,Y,1.343196875926e-01
018,Instrument.Alignments.Optics.MdACRotUpp,Y,-9.800000000000e-04
018,Instrument.Alignments.Optics.MdCompUHRRem,,-5.000000000000e+00
018,Instrument.Alignments.Optics.MdACRotLow,Y,-3.357883026065e-03
018,Instrument.Alignments.Detectors.TLD.Push,,-1.428000000000e+02
018,Instrument.Alignments.Optics.MdDeflDC1,X,1.582453320955e-01
018,Instrument.Alignments.Optics.MdHRpar4,,4.394089991275e-07
018,Instrument.Alignments.Optics.MdSImRotCheb0,,-1.613122327039e+00
